exercise_id,youtube_url,display_title,notes
1,https://www.youtube.com/watch?v=7j-2w4-P14I,Romanian deadlift demo,Keep core tight and a neutral spine.
2,https://www.youtube.com/watch?v=JDEDaZTEzGE,Tricep extension demo,Keep elbows in place and control the movement.
3,https://www.youtube.com/watch?v=fGnpM59aRtI,Hip adduction demo,
4,https://www.youtube.com/watch?v=t-hqRPjpaw8,Shoulder press demo,
5,https://www.youtube.com/watch?v=fGnpM59aRtI,Hip abduction demo,
6,https://www.youtube.com/watch?v=6DeLZ6cbgWQ,Biceps curl demo,
7,https://www.youtube.com/watch?v=4la6BkUBLgo,Dip demo,
8,https://www.youtube.com/watch?v=8MGPbEvk68I,Bent knee calf press demo,
9,https://www.youtube.com/watch?v=ejI1Nlsul9k,Bench press demo,
10,https://www.youtube.com/watch?v=Nhvz9EzdJ4U,Chest fly demo,
11,https://youtu.be/bm0_q9bR_HA,Bentover row demo,Keep a flat back and pull toward your lower chest.
12,https://www.youtube.com/watch?v=Orxowest56U,Leg curl demo,
13,https://www.youtube.com/watch?v=XOTO2qWRy9U,Jumping squat demo,
14,https://www.youtube.com/watch?v=JGeRYIZdojU,Pull down demo,
15,https://www.youtube.com/watch?v=YyvSfVjQeL0,Leg extension demo,
16,https://www.youtube.com/watch?v=my0tLDaWyDU,Squat demo,
17,https://www.youtube.com/watch?v=5S8SApGU_Lk,Hip thrust demo,
18,https://www.youtube.com/watch?v=yPqv3ejnZvc,Deadlift demo,
19,https://www.youtube.com/watch?v=ns-RGsbzqok,Overhead triceps extension demo,
20,https://www.youtube.com/watch?v=Kjew7DbVAD8,Cable latissimus pullover demo,
21,https://www.youtube.com/watch?v=lJ2o89kcnxY,Inclined benchpress demo,
22,https://www.youtube.com/watch?v=mRy9m2Q9_1I,Chin up demo,
23,https://www.youtube.com/watch?v=cGnhixvC8uA,Overhead press demo,
24,https://www.youtube.com/watch?v=aAggnpPyR6E,Pull up demo,
25,https://www.youtube.com/watch?v=XPPfnSEATJA,Lateral deltoid raise demo,
26,https://www.youtube.com/watch?v=_91Uo7ev_f8,Full shoulder abduction demo,
27,https://www.youtube.com/watch?v=UCXxvVItLoM,Row demo,
28,https://www.youtube.com/watch?v=rYgNArpwE7E,Hack squat demo,
29,https://www.youtube.com/watch?v=-MODnZdnmAQ,Facepull demo,
30,https://www.youtube.com/watch?v=dhRz1Ns60Zg,Straight knee calf press demo,
31,https://www.youtube.com/watch?v=dYF2d_I24uE,Chest press demo,
32,https://www.youtube.com/watch?v=SLOtxuaStoQ,Close grip row demo,
33,https://www.youtube.com/watch?v=ENXyYltB7CM,Back extensions demo,Descend towards the floor slowly.
34,https://www.youtube.com/watch?v=99T1EfpMwPA,Russian twists demo,
35,https://www.youtube.com/watch?v=MxfTNXSFiYI,Lunge demo,
36,https://www.youtube.com/watch?v=zCsW9L2qi-0,Ab rollout demo,
37,https://www.youtube.com/watch?v=qCR9bN3G1t4,Leg press demo,
38,https://www.youtube.com/watch?v=vgn7bSXkgkA,Bulgarian split squat demo,
39,https://www.youtube.com/watch?v=SqO-VUEak2M,Glute kickback demo,
40,https://www.youtube.com/watch?v=nlkF7_2O_Lw,Rear deltoid fly demo,
41,https://www.youtube.com/watch?v=eDf49a4Vx5k,Zercher squat demo,
53,https://www.youtube.com/watch?v=sxA__DoLsgo,Preacher curl demo,
54,https://www.youtube.com/watch?v=P5sXHLmXmBM,Hammer curl demo,
55,https://www.youtube.com/watch?v=1BDGIcMTSXc,Skullcrusher demo,
56,https://www.youtube.com/watch?v=5qjqDHOUh-A,Box step up demo,
57,https://www.youtube.com/watch?v=_jLskVdzS4o,Leg raise demo,
59,https://www.youtube.com/watch?v=WDIpL0pjun0,Push up demo,
60,https://www.youtube.com/watch?v=Xyd_fa5zoEU,Crunch demo,
