equipment_id,image_url,display_title,notes
1,https://static.vecteezy.com/system/resources/thumbnails/075/212/945/small/barbell-with-weights-on-a-wooden-surface-in-a-gym-photo.jpg,Olympic barbell,Reference: Vecteezy gym barbell photo
2,https://img.magnific.com/free-photo/ahlete-doing-pushups-gym-with-bare-torso-sport-lifestyle_169016-61545.jpg?semt=ais_hybrid&w=740&q=80,Cable pulley,Reference: Magnific gym pulley system photo
4,https://t4.ftcdn.net/jpg/03/75/04/33/360_F_375043319_6gIelnLOIF12wJySOTW1JFMxJ38WmCpi.jpg,Elastic band,Same reference as attachment resistance band
5,http://kingofweighted.shop/cdn/shop/files/Belt-ColdFriendlyOffer.png?v=1776453062,Weighted belt,Same reference as attachment weighted belt
7,https://img.magnific.com/free-photo/gym-interior-with-equipment_93675-128388.jpg?semt=ais_hybrid&w=740&q=80,Gym machine,Reference: Magnific gym machinery photo
8,https://img.magnific.com/free-photo/kettlebell-chain-strength-training-dark-gym-setting_84443-84496.jpg?semt=ais_hybrid&w=740&q=80,Kettlebell,Reference: Magnific gym kettlebell photo
9,https://img.magnific.com/free-photo/weathered-dumbbell-dark-background-gym-weight-training-fitness-exercise-strength-workout-sport-bodybuilding-muscle-power_191095-99720.jpg?semt=ais_hybrid&w=740&q=80,Dumbbell,Reference: Magnific gym dumbbell photo
10,https://static.vecteezy.com/system/resources/thumbnails/067/946/853/small/front-and-back-view-of-a-stylized-human-anatomy-outline-vector.jpg,Bodyweight,Reference: Vecteezy human body drawing
11,https://st.depositphotos.com/3258807/58815/i/450/depositphotos_588158918-stock-photo-cropped-photo-sportswoman-raising-hex.jpg,Hex bar,Reference: Depositphotos hex bar photo
12,https://swolverine.com/cdn/shop/articles/T_Bar_Row.jpg?v=1645588051&width=1024,T-bar row,Reference: Swolverine T-bar row photo
13,https://lifefitindia.com/wp-content/uploads/editor/machine-hack-squat-exercise-featured.webp,Hack squat machine,Reference: LifeFit India hack squat machine photo
14,https://hips.hearstapps.com/hmg-prod/images/young-woman-exercising-with-wheel-at-gym-royalty-free-image-1582309262.jpg,Ab wheel,Reference: Women's Health ab wheel photo
15,https://extremetrainingequipment.com/cdn/shop/products/SmithMachineUSAProlinePL7317-WEB.jpg?v=1698947077&width=416,Smith machine,Reference: Extreme Training Equipment smith machine photo
16,https://st2.depositphotos.com/1063296/11578/i/450/depositphotos_115781188-stock-photo-barbell-weights-with-curved-and.jpg,EZ barbell,Reference: Depositphotos EZ curl bar photo
